countryCode	year	sex	laborForcePartipation	pctAdvancedEdu	pctBasicEdu	lifeExpect	literacyRate
BGD	2010	Female	29.9990005493164	90.5608978271484	85.8403015136719	71.521	..
BGD	2011	Female	30.4669990539551	..	..	72.085	46.7432098388672
BGD	2012	Female	30.9409999847412	..	..	72.617	..
BGD	2013	Female	31.4220008850098	91.027702331543	86.1464996337891	73.104	..
BGD	2014	Female	31.9099998474121	..	..	73.545	..
BGD	2015	Female	32.4029998779297	..	..	73.939	..
BGD	2016	Female	32.8899993896484	88.6900024414063	82.1999969482422	74.294	69.8972091674805
BRB	1990	Female	61.265998840332	..	..	73.505	..
BRB	1991	Female	60.6520004272461	..	..	73.741	..
BRB	1992	Female	61.3930015563965	..	..	73.974	..
BRB	1993	Female	62.257999420166	..	..	74.202	..
BRB	1994	Female	62.9990005493164	..	..	74.425	..
BRB	1995	Female	63.7939987182617	..	..	74.641	..
BRB	1996	Female	64.4899978637695	..	..	74.849	..
BRB	1997	Female	63.5629997253418	..	..	75.048	..
BRB	1998	Female	63.4589996337891	..	..	75.237	..
BRB	1999	Female	63.3269996643066	..	..	75.418	..
BRB	2000	Female	63.1889991760254	..	..	75.592	..
BRB	2001	Female	63.2750015258789	..	..	75.76	..
BRB	2002	Female	63.3709983825684	..	..	75.927	..
BRB	2003	Female	63.4749984741211	..	..	76.094	..
BRB	2004	Female	64.1890029907227	..	..	76.261	..
BRB	2005	Female	64.1999969482422	..	..	76.431	..
BRB	2006	Female	64.1169967651367	..	..	76.603	..
BRB	2007	Female	63.9889984130859	..	..	76.776	..
BRB	2008	Female	63.8170013427734	..	..	76.949	..
BRB	2009	Female	63.6069984436035	..	..	77.122	..
